employee_id,department,level,office,remote,tenure_years,salary_usd,performance_score,satisfaction_score,training_hours,bonus_usd,projects_completed
EMP-0030,Engineering,Lead,Casablanca,Yes,6,186164.0,3.5,3.71,11,16347.55,14
EMP-0031,Engineering,Mid,Doha,No,3,91659.0,2.87,2.41,50,15210.61,8
EMP-0032,Sales,Mid,Doha,No,2,75153.0,3.09,3.12,65,14911.99,17
EMP-0033,Finance,Mid,Dubai,Yes,11,93624.0,2.61,2.9,40,11816.22,21
EMP-0034,Sales,Manager,Casablanca,No,4,173668.0,3.92,3.89,20,18075.49,2
EMP-0035,Engineering,Junior,Doha,Yes,9,83998.0,3.51,4.02,49,16360.33,4
EMP-0036,Engineering,Senior,Doha,No,10,146690.0,3.21,3.75,79,14851.9,23
EMP-0037,Marketing,Mid,Dubai,No,7,88773.0,3.05,3.25,18,12317.28,12
EMP-0038,Finance,Junior,Amman,No,7,73048.0,3.9,3.47,45,19761.62,8
EMP-0039,Engineering,Mid,Dubai,No,2,107221.0,4.12,3.95,4,20421.96,4
EMP-0040,Engineering,Mid,Cairo,No,7,107808.0,2.6,2.46,18,10835.19,9
EMP-0041,Product,Junior,Dubai,No,10,71598.0,2.47,2.61,61,11422.29,1
EMP-0042,Engineering,Mid,Riyadh,Yes,2,110480.0,4.26,5.0,39,19069.52,6
EMP-0043,Sales,Senior,Dubai,No,3,114507.0,2.4,2.79,15,9844.77,5
EMP-0044,Engineering,Mid,Riyadh,No,9,111969.0,3.94,4.03,26,15239.36,3
EMP-0045,Marketing,Senior,Doha,Yes,13,117452.0,4.79,3.93,9,20626.93,24
EMP-0046,Finance,Lead,Casablanca,No,5,147270.0,4.8,4.97,62,21106.03,19
EMP-0047,HR,Mid,Cairo,Yes,11,87425.0,4.09,4.32,75,16517.4,23
EMP-0048,HR,Mid,Casablanca,No,2,70696.0,4.07,4.31,8,18847.07,6
EMP-0049,Product,Mid,Casablanca,Yes,7,111177.0,5.0,4.63,19,24244.28,7
EMP-0050,Engineering,Mid,Dubai,No,13,106655.0,1.63,2.76,68,9619.6,7
EMP-0051,Product,Junior,Dubai,Yes,6,73173.0,3.13,3.95,70,14449.8,14
EMP-0052,Finance,Mid,Amman,No,7,89527.0,4.18,4.1,61,16290.32,5
EMP-0053,Engineering,Junior,Riyadh,Yes,2,64605.0,3.23,3.19,57,16140.27,6
EMP-0054,Product,Mid,Amman,No,7,96890.0,4.49,4.68,68,20585.24,24
EMP-0055,Product,Manager,Amman,No,8,,3.47,2.89,29,16704.3,9
EMP-0056,Engineering,Senior,Dubai,No,13,156228.0,3.61,3.09,71,19546.81,19
EMP-0057,Finance,Mid,Dubai,Yes,2,92918.0,3.28,3.26,70,14039.88,6
EMP-0058,Marketing,Mid,Dubai,Yes,5,83725.0,3.08,2.11,18,10132.14,23
EMP-0059,Sales,Senior,Casablanca,Yes,9,125699.0,3.06,3.64,5,12781.53,17
EMP-0060,Operations,Mid,Dubai,No,13,88771.0,3.72,3.02,41,17840.19,21
EMP-0061,Engineering,Mid,Doha,Yes,3,104386.0,2.88,2.73,60,13637.85,13
EMP-0062,Engineering,Senior,Cairo,No,9,163793.0,4.26,3.86,67,17579.31,22
EMP-0063,Sales,Junior,Amman,Yes,12,77457.0,4.02,3.84,11,16265.26,9
EMP-0064,Marketing,Mid,Amman,No,8,81186.0,4.38,3.86,30,19362.13,12
EMP-0065,Marketing,Mid,Cairo,Yes,5,80655.0,2.6,2.78,61,10537.67,2
EMP-0066,Engineering,Senior,Casablanca,No,3,,2.14,2.46,4,11270.71,5
EMP-0067,HR,Manager,Riyadh,Yes,4,138681.0,3.5,3.18,57,15568.8,19
EMP-0068,Product,Senior,Riyadh,Yes,0,139793.0,5.0,4.04,23,21559.32,8
EMP-0069,Product,Mid,Casablanca,Yes,2,105030.0,4.51,4.81,1,19317.05,3
EMP-0070,Marketing,Junior,Cairo,Yes,6,,3.06,1.88,19,14731.74,8
EMP-0071,HR,Senior,Cairo,No,1,87658.0,3.84,3.56,59,17690.27,9
EMP-0072,Marketing,Lead,Riyadh,No,0,140315.0,4.08,3.58,69,18947.63,18
EMP-0073,HR,Manager,Amman,No,9,144262.0,2.41,2.93,6,11872.41,3
EMP-0074,Engineering,Lead,Cairo,No,0,156993.0,4.6,3.34,37,20693.65,1
EMP-0075,Marketing,Junior,Cairo,No,1,55968.0,3.37,3.06,16,14087.76,18
EMP-0076,Operations,Senior,Cairo,Yes,8,114358.0,3.43,3.34,54,14799.74,4
EMP-0077,Sales,Lead,Cairo,Yes,12,152898.0,3.52,4.11,62,15687.9,11
EMP-0078,Product,Senior,Casablanca,Yes,10,149027.0,4.42,4.29,76,23143.45,17
EMP-0079,HR,Senior,Doha,Yes,0,88503.0,2.9,2.32,28,11639.33,13
EMP-0080,Engineering,Mid,Casablanca,No,2,,2.13,2.2,23,9836.12,3
EMP-0081,Sales,Senior,Riyadh,No,10,129147.0,3.76,4.16,24,17432.53,18
EMP-0082,Operations,Mid,Amman,No,10,84043.0,1.87,1.59,60,8878.31,2
EMP-0083,Operations,Junior,Dubai,No,5,53918.0,3.26,3.23,35,16799.25,6
EMP-0084,HR,Lead,Riyadh,Yes,13,132758.0,4.45,4.11,1,19725.15,3
EMP-0085,Operations,Manager,Riyadh,No,12,160093.0,3.96,3.54,75,17793.94,13
EMP-0086,Engineering,Lead,Doha,Yes,10,170467.0,4.33,5.0,8,20924.26,17
EMP-0087,HR,Mid,Cairo,Yes,10,80025.0,4.0,3.55,74,21000.45,16
EMP-0088,Sales,Junior,Riyadh,Yes,10,67070.0,5.0,4.77,12,24611.25,4
EMP-0089,Marketing,Mid,Doha,Yes,2,,3.03,2.66,43,14018.53,9
EMP-0090,Sales,Lead,Dubai,No,9,141589.0,3.82,3.99,24,17463.45,4
EMP-0091,Operations,Senior,Amman,Yes,13,117908.0,3.15,3.73,54,14797.99,9
EMP-0092,Marketing,Manager,Amman,Yes,3,168741.0,4.27,3.63,32,19635.35,6
EMP-0093,Operations,Mid,Riyadh,No,0,72923.0,3.45,3.38,29,14722.09,18
EMP-0094,Engineering,Mid,Doha,No,5,117043.0,4.88,3.88,38,23380.21,19
EMP-0095,Engineering,Senior,Casablanca,No,3,134265.0,3.08,2.47,77,14726.37,20
EMP-0096,Sales,Junior,Dubai,No,13,71098.0,4.63,4.86,19,20860.66,5
EMP-0097,Engineering,Manager,Cairo,No,6,234579.0,3.97,3.45,17,16286.23,1
EMP-0098,Finance,Senior,Cairo,Yes,9,117303.0,3.47,1.98,5,16184.36,1
EMP-0099,Product,Junior,Riyadh,Yes,13,81142.0,3.93,4.81,59,15182.79,21
EMP-0100,Sales,Junior,Doha,Yes,11,65318.0,3.71,3.12,54,16205.37,22
EMP-0101,Engineering,Lead,Dubai,Yes,10,200438.0,3.78,3.5,48,16551.36,6
EMP-0102,Engineering,Senior,Amman,No,13,,3.33,4.32,1,15935.41,22
EMP-0103,Marketing,Senior,Doha,No,9,114150.0,2.94,2.97,63,16662.44,13
EMP-0104,Product,Senior,Casablanca,No,3,131762.0,3.23,3.16,64,15932.02,5
EMP-0105,Engineering,Mid,Riyadh,No,10,109764.0,2.15,1.77,75,12717.24,8
EMP-0106,Engineering,Senior,Riyadh,No,4,136719.0,4.17,2.94,74,19996.76,7
EMP-0107,Engineering,Manager,Riyadh,No,4,232182.0,2.51,2.66,21,13737.43,19
EMP-0108,Marketing,Junior,Cairo,No,9,68547.0,3.33,3.55,56,18254.4,5
EMP-0109,Engineering,Senior,Doha,No,4,140329.0,4.02,4.0,32,17279.68,5
EMP-0110,Product,Mid,Riyadh,Yes,0,91734.0,4.17,3.63,47,17824.72,18
EMP-0111,Finance,Mid,Doha,No,13,104394.0,2.08,2.47,26,11240.39,8
EMP-0112,Sales,Mid,Riyadh,Yes,7,91399.0,3.43,2.3,52,15885.87,7
EMP-0113,Marketing,Lead,Dubai,No,9,140213.0,3.87,3.98,76,18075.27,20
EMP-0114,Engineering,Junior,Casablanca,Yes,11,81165.0,3.54,3.58,52,16001.77,23
EMP-0115,HR,Mid,Doha,No,8,74824.0,4.58,5.0,73,19821.7,14
EMP-0116,Sales,Senior,Doha,Yes,8,107329.0,2.84,2.99,74,15869.88,20
EMP-0117,Product,Junior,Casablanca,Yes,11,,1.86,1.74,9,7665.43,21
EMP-0118,Operations,Senior,Riyadh,No,4,93280.0,4.15,3.87,77,19952.28,15
EMP-0119,Marketing,Manager,Dubai,Yes,11,163512.0,3.07,2.95,65,15181.73,20
EMP-0120,Marketing,Junior,Doha,No,10,67799.0,2.09,2.73,34,7922.78,1
EMP-0121,Operations,Junior,Riyadh,Yes,2,54846.0,3.37,3.38,48,14421.23,1
EMP-0122,Engineering,Manager,Doha,Yes,2,234086.0,4.48,3.38,49,19340.64,22
EMP-0123,Operations,Junior,Doha,Yes,12,,2.49,1.76,62,12802.35,4
EMP-0124,Marketing,Junior,Doha,No,12,76861.0,5.0,4.66,64,21949.45,18
EMP-0125,Product,Manager,Dubai,No,13,206217.0,2.83,3.81,8,13256.33,11
EMP-0126,Engineering,Lead,Dubai,Yes,1,178334.0,3.57,3.55,0,14305.89,19
EMP-0127,Engineering,Senior,Dubai,Yes,12,143185.0,2.52,3.26,19,15592.58,16
EMP-0128,HR,Mid,Cairo,No,12,85628.0,3.53,4.08,42,16446.6,2
EMP-0129,Engineering,Lead,Casablanca,No,10,201256.0,3.39,3.54,67,16499.11,9
EMP-0130,Engineering,Senior,Riyadh,Yes,6,150512.0,2.31,2.13,52,10384.36,18
EMP-0131,Finance,Senior,Casablanca,Yes,7,124294.0,5.0,4.62,10,21521.06,23
EMP-0132,Finance,Lead,Dubai,Yes,6,161301.0,3.1,3.9,57,17404.69,20
EMP-0133,Engineering,Senior,Casablanca,Yes,0,122941.0,3.1,3.49,37,11663.52,22
EMP-0134,Operations,Mid,Dubai,No,7,73592.0,4.28,4.44,29,19873.93,23
EMP-0135,Sales,Mid,Amman,No,3,77436.0,4.95,4.19,61,20478.64,22
EMP-0136,Operations,Mid,Dubai,No,2,69272.0,4.4,3.96,23,19377.33,14
EMP-0137,Engineering,Mid,Amman,No,0,96280.0,2.54,2.71,49,11206.89,9
EMP-0138,Engineering,Mid,Dubai,Yes,6,,3.67,3.54,14,15439.77,13
EMP-0139,Marketing,Mid,Riyadh,No,0,62306.0,1.99,3.1,30,9931.75,20
EMP-0140,Engineering,Senior,Dubai,Yes,11,168333.0,4.22,2.55,44,15377.69,11
EMP-0141,Sales,Mid,Cairo,Yes,12,91331.0,2.19,2.55,49,10232.54,20
EMP-0142,Engineering,Junior,Amman,No,11,80037.0,2.86,2.95,73,13365.81,17
EMP-0143,Finance,Mid,Dubai,Yes,4,89278.0,3.5,2.63,23,14150.33,6
EMP-0144,Operations,Junior,Doha,No,2,53421.0,3.86,4.1,71,19965.05,23
EMP-0145,Operations,Senior,Doha,No,7,104389.0,3.29,2.87,65,14431.57,21
EMP-0146,HR,Mid,Cairo,No,9,86251.0,4.72,4.09,28,20947.89,15
EMP-0147,Operations,Mid,Cairo,No,0,75610.0,4.08,4.96,11,17741.76,5
EMP-0148,Sales,Senior,Amman,Yes,11,120184.0,4.02,4.42,20,18243.93,6
EMP-0149,Sales,Junior,Doha,Yes,6,60491.0,2.52,3.11,52,14031.43,21
EMP-0150,Operations,Junior,Dubai,No,11,62797.0,4.86,4.63,63,25619.4,1
EMP-0151,HR,Lead,Amman,No,1,124640.0,2.86,2.9,48,14620.16,12
EMP-0152,HR,Mid,Cairo,No,5,,4.89,5.0,57,23670.13,15
EMP-0153,Finance,Senior,Riyadh,Yes,6,123863.0,5.0,4.98,8,25074.64,6
EMP-0154,Engineering,Lead,Doha,Yes,0,,3.91,3.29,40,18295.83,21
EMP-0155,HR,Manager,Amman,Yes,9,164202.0,4.33,3.19,69,22022.94,13
EMP-0156,HR,Junior,Cairo,No,13,55847.0,1.03,2.06,31,7029.99,2
EMP-0157,Marketing,Senior,Doha,No,7,107255.0,3.34,3.31,71,15760.77,8
EMP-0158,Operations,Senior,Dubai,No,5,102195.0,4.38,3.21,9,20428.79,10
EMP-0159,Marketing,Junior,Amman,Yes,8,73205.0,4.24,4.22,78,16574.23,6
EMP-0160,HR,Manager,Cairo,No,5,,2.52,2.61,62,12539.91,23
EMP-0161,Engineering,Mid,Dubai,Yes,5,96821.0,3.27,3.6,50,12897.47,9
EMP-0162,Operations,Lead,Casablanca,Yes,10,129757.0,1.47,2.29,49,5239.91,13
EMP-0163,Engineering,Senior,Dubai,Yes,8,144878.0,3.83,3.32,74,17876.97,13
EMP-0164,Product,Mid,Casablanca,No,3,84157.0,1.99,2.78,30,8200.9,6
EMP-0165,Engineering,Junior,Doha,No,5,83001.0,4.4,3.78,13,19987.73,14
EMP-0166,Sales,Lead,Cairo,Yes,11,138847.0,4.45,3.85,73,20381.61,9
EMP-0167,Engineering,Mid,Doha,No,7,113273.0,3.12,2.86,8,14880.7,1
EMP-0168,HR,Junior,Cairo,No,1,54031.0,3.92,4.42,52,16595.31,10
EMP-0169,Sales,Junior,Amman,Yes,11,,3.33,3.16,21,16818.57,15
EMP-0170,Operations,Senior,Dubai,Yes,10,,3.69,4.41,74,16878.96,3
EMP-0171,Product,Junior,Doha,No,3,70469.0,2.58,3.88,77,13006.82,19
EMP-0172,Engineering,Senior,Casablanca,No,13,158880.0,4.0,3.36,37,16496.92,16
EMP-0173,Finance,Senior,Amman,No,13,133910.0,2.19,1.0,42,10418.13,8
EMP-0174,Finance,Junior,Dubai,Yes,13,67252.0,2.04,3.05,36,11697.38,15
EMP-0175,Sales,Mid,Dubai,No,5,76469.0,3.4,3.18,34,17245.59,8
EMP-0176,Operations,Junior,Amman,No,12,69662.0,3.33,2.81,74,14294.28,16
EMP-0177,Operations,Manager,Amman,Yes,11,152586.0,3.72,3.25,22,16296.6,4
EMP-0178,Marketing,Lead,Doha,Yes,12,137458.0,2.98,2.84,76,12534.62,15
EMP-0179,HR,Mid,Cairo,No,7,82181.0,5.0,5.0,52,21515.38,2
EMP-0180,Finance,Mid,Cairo,Yes,3,81936.0,3.63,3.64,76,14641.03,1
EMP-0181,Marketing,Mid,Casablanca,No,3,83113.0,3.69,4.35,48,16775.22,7
EMP-0182,Product,Manager,Doha,No,13,239334.0,3.66,3.86,65,17812.41,5
EMP-0183,Engineering,Mid,Dubai,Yes,7,115879.0,4.3,3.83,39,18392.2,12
EMP-0184,Engineering,Mid,Riyadh,No,12,104579.0,3.96,3.54,36,17999.51,4
EMP-0185,Finance,Manager,Riyadh,No,7,191754.0,3.85,4.03,20,17354.43,6
EMP-0186,Finance,Junior,Cairo,No,7,75997.0,4.09,4.35,16,20255.58,3
EMP-0187,Product,Mid,Doha,No,1,87072.0,2.04,3.03,3,9151.91,22
EMP-0188,Marketing,Junior,Cairo,No,5,57893.0,2.07,2.29,30,9333.37,18
EMP-0189,Engineering,Senior,Casablanca,Yes,7,147606.0,3.44,3.51,79,14675.41,6
EMP-0190,Product,Mid,Cairo,No,1,90571.0,3.34,3.69,75,13829.55,3
EMP-0191,HR,Manager,Dubai,No,2,143189.0,3.96,3.54,55,18941.94,21
EMP-0192,Sales,Mid,Doha,No,8,91408.0,3.52,2.78,29,16064.59,17
EMP-0193,Engineering,Junior,Doha,No,3,67740.0,3.97,3.29,41,18237.28,22
EMP-0194,Sales,Lead,Amman,Yes,9,155348.0,2.5,2.61,60,13926.76,5
EMP-0195,Sales,Lead,Doha,No,6,145566.0,3.49,3.84,0,18162.02,9
EMP-0196,Finance,Senior,Cairo,Yes,5,111212.0,2.43,3.45,73,9224.7,3
EMP-0197,HR,Senior,Doha,Yes,1,99625.0,3.81,2.85,69,18471.59,11
EMP-0198,Marketing,Junior,Cairo,No,5,54728.0,2.0,2.04,77,10227.43,4
EMP-0199,Marketing,Senior,Amman,No,7,107099.0,3.78,3.43,7,16677.94,1
EMP-0200,Product,Junior,Casablanca,No,8,80359.0,2.32,3.1,75,11755.69,13
EMP-0201,Marketing,Junior,Amman,No,3,58543.0,3.19,2.92,49,12321.77,24
EMP-0202,Product,Manager,Dubai,Yes,0,211510.0,4.22,3.69,44,21400.92,16
EMP-0203,Engineering,Senior,Riyadh,No,13,165543.0,3.68,2.73,14,17736.41,19
EMP-0204,Operations,Junior,Riyadh,Yes,13,65258.0,2.18,2.82,39,9372.79,20
EMP-0205,Sales,Junior,Casablanca,No,12,70155.0,2.96,2.98,29,13062.64,24
EMP-0206,Sales,Manager,Amman,No,4,159813.0,2.3,2.22,79,8600.65,4
EMP-0207,Engineering,Junior,Casablanca,Yes,8,69924.0,2.14,2.35,27,10034.68,7
EMP-0208,Operations,Junior,Doha,Yes,1,50230.0,3.59,4.19,17,15871.25,15
EMP-0209,Engineering,Junior,Cairo,Yes,12,85783.0,3.95,3.16,75,16094.94,20
EMP-0210,Sales,Junior,Amman,No,0,58255.0,3.85,3.19,15,18845.49,19
EMP-0211,Operations,Mid,Amman,No,6,77992.0,3.98,4.54,72,20140.02,18
EMP-0212,Sales,Manager,Dubai,Yes,11,187908.0,3.49,3.49,77,16118.94,8
EMP-0213,HR,Mid,Amman,Yes,10,86967.0,3.28,3.7,24,14822.94,9
EMP-0214,Engineering,Mid,Riyadh,Yes,12,121924.0,2.64,3.09,55,13246.96,2
EMP-0215,Finance,Senior,Casablanca,Yes,6,119834.0,3.15,3.18,63,14691.87,8
EMP-0216,HR,Mid,Cairo,No,1,70797.0,2.44,2.5,42,10137.0,4
EMP-0217,Sales,Senior,Dubai,No,0,111503.0,2.82,3.48,55,12381.23,23
EMP-0218,Finance,Senior,Amman,Yes,2,109188.0,3.57,4.2,10,16054.14,3
EMP-0219,Sales,Senior,Casablanca,No,0,103274.0,3.41,4.03,41,16176.45,9
EMP-0220,Finance,Senior,Riyadh,Yes,6,,5.0,3.79,41,22514.01,22
EMP-0221,Operations,Senior,Riyadh,Yes,0,244686.29848218136,2.42,3.48,45,11993.68,23
EMP-0222,Finance,Senior,Riyadh,No,2,120316.0,3.4,3.17,75,13492.43,10
EMP-0223,HR,Senior,Dubai,Yes,5,97283.0,2.36,2.2,65,12414.09,12
EMP-0224,Marketing,Junior,Riyadh,No,10,70078.0,3.19,3.13,48,14902.16,13
EMP-0225,Marketing,Senior,Dubai,No,9,111328.0,3.22,3.75,32,18862.83,20
EMP-0226,Product,Senior,Doha,No,0,129029.0,4.18,4.25,32,18457.35,19
EMP-0227,Finance,Mid,Amman,Yes,12,107174.0,3.14,3.04,1,15174.31,13
EMP-0228,Operations,Lead,Doha,No,7,141293.0,3.35,3.85,44,19800.99,9
EMP-0229,Marketing,Mid,Cairo,Yes,4,82804.0,3.16,3.29,20,15045.27,9
EMP-0230,Engineering,Junior,Doha,No,5,67301.0,2.38,2.32,70,11391.02,16
EMP-0231,Sales,Lead,Amman,Yes,11,137766.0,2.98,2.66,61,12528.55,21
EMP-0232,Finance,Junior,Riyadh,No,6,62993.0,3.19,3.48,73,17209.09,2
EMP-0233,HR,Mid,Amman,Yes,3,70767.0,3.56,3.44,79,14709.4,19
EMP-0234,Engineering,Mid,Doha,No,5,98894.0,3.95,2.94,32,18718.74,12
EMP-0235,Engineering,Lead,Cairo,No,0,182811.0,3.31,3.83,34,14701.42,4
EMP-0236,Sales,Mid,Cairo,Yes,2,81744.0,3.3,3.02,48,15068.68,3
EMP-0237,Engineering,Senior,Cairo,No,4,134296.0,2.12,3.44,34,8282.17,9
EMP-0238,HR,Senior,Riyadh,Yes,3,94613.0,3.93,2.91,22,20028.2,6
EMP-0239,Sales,Senior,Dubai,No,4,,2.94,2.95,56,13445.09,3
EMP-0240,Sales,Manager,Dubai,Yes,0,168980.0,4.1,3.45,36,16887.7,8
EMP-0241,Engineering,Senior,Riyadh,Yes,8,156268.0,4.55,3.6,75,22502.27,21
EMP-0242,Sales,Mid,Casablanca,No,1,71317.0,3.35,3.05,17,14812.4,18
EMP-0243,HR,Manager,Cairo,No,3,157838.0,2.68,3.94,35,13263.59,6
EMP-0244,Sales,Mid,Dubai,No,13,88951.0,3.49,3.53,42,17406.02,17
EMP-0245,Engineering,Junior,Dubai,No,0,,3.78,3.17,72,18082.69,11
EMP-0246,Engineering,Junior,Amman,Yes,3,77946.0,3.25,2.18,46,11844.9,18
EMP-0247,HR,Senior,Doha,Yes,7,96099.0,3.05,2.1,5,15347.87,6
EMP-0248,HR,Junior,Cairo,No,4,51213.0,3.95,3.44,27,17942.55,2
EMP-0249,Engineering,Senior,Doha,No,4,145822.0,3.9,3.35,70,17378.32,8
EMP-0250,Marketing,Mid,Cairo,Yes,1,72584.0,3.22,3.12,21,14872.85,24
EMP-0251,Engineering,Mid,Dubai,Yes,5,,2.18,1.16,27,8227.29,14
EMP-0252,Marketing,Junior,Doha,No,10,61787.0,3.87,3.65,12,18021.69,2
EMP-0253,Engineering,Lead,Doha,No,8,164812.0,2.89,3.64,57,11575.19,24
EMP-0254,Operations,Mid,Casablanca,No,12,87370.0,3.67,4.54,11,16491.43,20
EMP-0255,HR,Junior,Casablanca,Yes,9,58817.0,3.62,2.4,29,16942.28,14
EMP-0256,Engineering,Mid,Riyadh,No,11,113485.0,1.99,1.91,56,11464.19,18
EMP-0257,Sales,Mid,Casablanca,No,6,253365.47157049272,3.56,2.98,71,15243.01,5
EMP-0258,Engineering,Senior,Casablanca,Yes,8,137427.0,3.91,3.83,17,20106.21,15
EMP-0259,Product,Mid,Cairo,Yes,8,102476.0,4.01,3.07,26,19761.11,22
EMP-0260,Engineering,Junior,Dubai,Yes,11,78045.0,3.59,4.53,9,15950.23,11
EMP-0261,Product,Lead,Amman,No,7,162417.0,1.92,2.37,35,7893.53,1
EMP-0262,HR,Mid,Cairo,Yes,5,73709.0,4.52,4.09,79,18325.27,19
EMP-0263,Engineering,Junior,Dubai,No,0,72099.0,3.83,4.64,24,17988.67,18
EMP-0264,Operations,Senior,Doha,No,12,106845.0,2.54,2.77,20,11050.92,18
EMP-0265,Engineering,Senior,Cairo,Yes,6,141684.0,2.87,3.25,31,15352.15,16
EMP-0266,Sales,Senior,Casablanca,No,11,128473.0,3.68,3.13,71,15957.63,4
EMP-0267,Sales,Mid,Casablanca,No,9,97697.0,4.04,3.01,43,17133.07,3
EMP-0268,HR,Mid,Cairo,Yes,0,,3.11,2.81,48,14910.88,20
EMP-0269,Engineering,Mid,Riyadh,No,9,104574.0,4.16,5.0,62,17944.7,21
EMP-0270,Engineering,Junior,Dubai,No,6,78777.0,2.07,2.83,57,10189.13,2
EMP-0271,Finance,Mid,Amman,Yes,3,81892.0,2.67,3.03,47,14176.32,14
EMP-0272,Finance,Manager,Casablanca,No,3,188791.0,1.85,1.71,44,9439.58,13
EMP-0273,Finance,Senior,Cairo,No,8,130633.0,2.78,3.49,42,13366.17,9
EMP-0274,Engineering,Mid,Dubai,Yes,1,100952.0,4.71,3.48,14,21574.86,16
EMP-0275,Engineering,Junior,Doha,No,8,79154.0,5.0,3.56,33,19960.35,22
EMP-0276,Operations,Senior,Amman,No,11,104157.0,3.69,3.25,67,17575.98,20
EMP-0277,Marketing,Junior,Doha,No,1,52332.0,2.99,4.27,3,14294.78,4
EMP-0278,Marketing,Junior,Casablanca,Yes,0,52082.0,3.32,4.46,66,16794.64,12
EMP-0279,Product,Junior,Cairo,Yes,0,69857.0,3.88,3.44,45,18699.14,23
EMP-0280,Product,Senior,Amman,Yes,10,147281.0,2.25,2.17,27,10645.46,6
EMP-0281,HR,Senior,Amman,No,11,117361.0,3.04,2.15,9,15824.99,21
EMP-0282,Finance,Junior,Cairo,No,13,89442.0,4.65,4.3,61,20582.29,12
EMP-0283,Engineering,Junior,Amman,No,0,67638.0,2.66,2.96,0,13057.15,13
EMP-0284,HR,Senior,Doha,Yes,6,91990.0,2.9,3.5,43,13216.55,7
EMP-0285,Marketing,Mid,Amman,No,0,,3.51,4.0,12,16936.97,23
EMP-0286,Product,Senior,Riyadh,No,5,141289.0,3.73,3.49,72,16586.62,13
EMP-0287,Sales,Junior,Riyadh,No,4,60166.0,3.0,3.43,14,16571.31,14
EMP-0288,Finance,Senior,Dubai,No,8,120299.0,3.56,3.07,64,19484.64,12
EMP-0289,Product,Manager,Doha,No,12,228691.0,3.99,4.11,45,19553.58,3
EMP-0290,Marketing,Senior,Riyadh,Yes,11,119787.0,5.0,4.2,3,24811.94,19
EMP-0291,Finance,Junior,Riyadh,No,0,56613.0,3.4,3.65,57,13467.0,8
EMP-0292,Engineering,Senior,Riyadh,No,3,148393.0,3.47,3.65,70,13929.17,6
EMP-0293,HR,Mid,Dubai,No,3,74189.0,4.72,4.35,17,20849.9,19
EMP-0294,Product,Junior,Amman,Yes,3,68656.0,3.06,3.62,77,14416.65,5
EMP-0295,Sales,Mid,Doha,No,4,80471.0,2.44,1.77,63,11452.86,17
EMP-0296,Finance,Lead,Doha,Yes,8,160801.0,3.7,2.95,59,14577.63,12
