order_id,order_date,region,country,product_line,channel,segment,quantity,unit_price_usd,discount_pct,revenue_usd,profit_usd,marketing_spend_usd
ORD-00028,2023-02-16,Levant,Qatar,Hardware,Reseller,Enterprise,2,923.66,0.325,3749.61,616.25,9684.48
ORD-00029,2023-02-18,Gulf,Bahrain,Analytics Suite,Reseller,Enterprise,34,1080.38,0.21,69848.0,19137.52,11120.98
ORD-00030,2023-02-21,North Africa,Egypt,Analytics Suite,Partner,Mid-Market,38,1821.83,0.125,83702.14,22515.54,20347.33
ORD-00031,2023-02-26,Gulf,Bahrain,Support Plan,Online,SMB,9,117.84,0.155,727.57,96.99,4812.8
ORD-00032,2023-02-27,North Africa,Qatar,Analytics Suite,Direct,Startup,13,857.0,0.23,3524.66,1105.99,50.0
ORD-00033,2023-02-28,Nile Valley,Saudi Arabia,Professional Services,Reseller,Startup,20,444.23,0.149,2999.85,742.38,14053.3
ORD-00034,2023-03-01,Gulf,Morocco,Analytics Suite,Reseller,SMB,21,2173.66,0.256,32166.35,9467.93,847.95
ORD-00035,2023-03-01,Levant,UAE,Analytics Suite,Partner,SMB,39,1670.98,0.032,57965.03,10308.56,14798.83
ORD-00036,2023-03-09,Gulf,Bahrain,Analytics Suite,Online,Mid-Market,16,1512.01,0.29,27895.47,4096.46,3487.97
ORD-00037,2023-03-11,North Africa,Egypt,Support Plan,Partner,SMB,1,42.8,0.071,30.75,8.44,5568.33
ORD-00038,2023-03-11,Gulf,UAE,Analytics Suite,Direct,SMB,17,731.76,0.33,6317.4,1861.45,50.0
ORD-00039,2023-03-13,Nile Valley,Qatar,Analytics Suite,Online,Startup,22,1543.97,0.054,14637.81,2999.69,5038.11
ORD-00040,2023-03-14,Gulf,Morocco,Hardware,Online,Startup,21,1217.92,0.045,11233.06,1406.52,50.0
ORD-00041,2023-03-16,Nile Valley,Saudi Arabia,Analytics Suite,Reseller,Mid-Market,20,2063.7,0.284,36555.2,10967.14,12667.34
ORD-00042,2023-03-16,North Africa,Jordan,Analytics Suite,Reseller,SMB,36,1776.5,0.287,41086.36,6793.25,7230.86
ORD-00043,2023-03-17,Levant,Jordan,Analytics Suite,Partner,Startup,32,1205.29,0.259,15369.66,2990.74,6752.69
ORD-00044,2023-03-19,North Africa,Kuwait,Analytics Suite,Reseller,Mid-Market,10,1749.13,0.336,17057.63,4404.46,50.0
ORD-00045,2023-03-20,North Africa,Qatar,Analytics Suite,Online,Startup,14,2155.73,0.095,12373.94,1756.98,1036.11
ORD-00046,2023-03-21,Nile Valley,Morocco,Support Plan,Online,Enterprise,27,75.85,0.289,3817.23,518.53,2611.11
ORD-00047,2023-03-21,Gulf,Qatar,Analytics Suite,Online,Startup,17,1556.55,,9571.22,1202.67,2321.24
ORD-00048,2023-03-22,Levant,Qatar,Hardware,Reseller,SMB,17,454.5,0.188,4872.22,1567.2,5625.23
ORD-00049,2023-03-23,Gulf,UAE,Hardware,Online,Enterprise,7,1240.26,0.156,19922.22,3755.42,471.77
ORD-00050,2023-03-24,Levant,Saudi Arabia,Analytics Suite,Direct,SMB,10,1995.8,0.002,16324.53,4331.63,2214.8
ORD-00051,2023-03-24,Gulf,Egypt,Analytics Suite,Direct,Enterprise,29,575.58,0.201,36786.98,12420.45,10609.1
ORD-00052,2023-03-25,Levant,Morocco,Analytics Suite,Partner,SMB,33,1567.21,0.262,35360.16,9451.03,50.0
ORD-00053,2023-03-25,Levant,UAE,Support Plan,Online,SMB,31,72.58,0.061,1626.28,383.02,3285.86
ORD-00054,2023-03-26,Levant,Saudi Arabia,Analytics Suite,Online,SMB,13,1506.29,0.326,9510.56,2231.2,50.0
ORD-00055,2023-03-27,Levant,Jordan,Hardware,Partner,Startup,6,291.85,0.186,580.72,,50.0
ORD-00056,2023-03-29,North Africa,Egypt,Professional Services,Online,Enterprise,7,243.65,0.062,3891.85,980.56,2231.95
ORD-00057,2023-03-31,North Africa,Qatar,Professional Services,Reseller,Mid-Market,16,445.3,0.226,8295.44,2745.24,7432.53
ORD-00058,2023-04-01,Levant,Qatar,Support Plan,Partner,Mid-Market,21,46.05,0.067,1453.09,426.29,5623.92
ORD-00059,2023-04-03,Levant,Kuwait,Hardware,Partner,Enterprise,35,562.71,0.022,58905.32,12566.26,6360.07
ORD-00060,2023-04-04,Nile Valley,Kuwait,Analytics Suite,Online,Mid-Market,36,1476.0,0.24,62080.85,11990.16,12042.32
ORD-00061,2023-04-04,Gulf,Egypt,Support Plan,Partner,Mid-Market,1,270.42,0.039,373.13,117.3,4597.15
ORD-00062,2023-04-04,Gulf,Jordan,Analytics Suite,Reseller,Mid-Market,28,840.06,0.037,30037.7,4501.84,3146.33
ORD-00063,2023-04-05,Gulf,Egypt,Hardware,Reseller,Mid-Market,12,1262.03,0.259,16128.52,4949.98,50.0
ORD-00064,2023-04-06,North Africa,Jordan,Support Plan,Online,Startup,8,212.18,0.019,753.22,132.65,50.0
ORD-00065,2023-04-07,Levant,Morocco,Professional Services,Partner,Mid-Market,22,447.45,,11626.68,,5789.13
ORD-00066,2023-04-11,North Africa,Saudi Arabia,Analytics Suite,Online,Startup,2,1137.46,,780.09,231.97,50.0
ORD-00067,2023-04-11,North Africa,Jordan,Hardware,Direct,Mid-Market,14,1260.15,0.049,22873.94,,50.0
ORD-00068,2023-04-12,Gulf,Saudi Arabia,Support Plan,Partner,Mid-Market,22,155.06,0.181,3890.21,631.39,50.0
ORD-00069,2023-04-13,Nile Valley,Jordan,Support Plan,Direct,SMB,11,205.19,0.034,1652.79,505.5,4560.68
ORD-00070,2023-04-14,North Africa,Saudi Arabia,Hardware,Direct,Mid-Market,24,1497.73,0.221,46937.08,9427.4,2765.0
ORD-00071,2023-04-15,Gulf,UAE,Analytics Suite,Direct,Mid-Market,18,2135.22,0.022,48491.74,9240.08,7551.65
ORD-00072,2023-04-15,Gulf,Qatar,Analytics Suite,Online,SMB,32,1868.37,0.331,29147.13,6768.07,9999.01
ORD-00073,2023-04-18,Gulf,Bahrain,Support Plan,Direct,Enterprise,8,191.96,0.073,3574.97,771.19,50.0
ORD-00074,2023-04-19,Gulf,Morocco,Analytics Suite,Online,Mid-Market,3,1964.37,0.239,7330.31,1981.17,642.93
ORD-00075,2023-04-19,Gulf,Saudi Arabia,Analytics Suite,Partner,SMB,21,2032.25,0.045,35099.79,5271.41,3316.81
ORD-00076,2023-04-22,Nile Valley,UAE,Analytics Suite,Partner,Mid-Market,11,1007.48,0.073,15960.96,3445.2,3906.79
ORD-00077,2023-04-23,Levant,Bahrain,Analytics Suite,Reseller,Startup,28,1499.73,0.158,16311.96,5157.42,8455.92
ORD-00078,2023-04-23,Gulf,Kuwait,Hardware,Online,Mid-Market,4,575.83,0.201,2405.02,307.68,50.0
ORD-00079,2023-04-25,North Africa,Saudi Arabia,Support Plan,Online,Startup,23,134.5,0.35,1074.85,237.13,3117.15
ORD-00080,2023-04-26,Levant,Morocco,Analytics Suite,Online,SMB,39,799.51,0.009,24081.6,6389.26,8299.38
ORD-00081,2023-04-27,Nile Valley,Egypt,Support Plan,Direct,Startup,4,195.18,0.0,324.54,102.33,50.0
ORD-00082,2023-04-27,North Africa,UAE,Support Plan,Direct,Startup,12,196.69,0.123,1023.91,256.63,50.0
ORD-00083,2023-05-03,Levant,Jordan,Support Plan,Online,Enterprise,33,128.48,0.128,9050.13,2727.59,3280.47
ORD-00084,2023-05-04,Gulf,Qatar,Hardware,Reseller,SMB,21,1365.59,0.309,14997.33,2534.43,3607.99
ORD-00085,2023-05-04,Nile Valley,UAE,Hardware,Direct,Enterprise,7,403.16,0.319,5868.72,1159.76,3758.26
ORD-00086,2023-05-04,North Africa,Kuwait,Analytics Suite,Direct,Startup,9,769.47,0.308,2320.33,759.37,3221.94
ORD-00087,2023-05-04,Nile Valley,Morocco,Analytics Suite,Reseller,SMB,30,1216.51,0.05,27626.02,8699.83,50.0
ORD-00088,2023-05-05,Gulf,Saudi Arabia,Support Plan,Reseller,Mid-Market,34,142.4,0.144,5984.44,1452.72,5911.35
ORD-00089,2023-05-07,Nile Valley,Morocco,Support Plan,Direct,Startup,15,299.93,0.261,1729.52,388.46,6326.46
ORD-00090,2023-05-07,Levant,UAE,Support Plan,Partner,Enterprise,19,98.51,0.109,4081.52,894.81,1465.65
ORD-00091,2023-05-08,Gulf,UAE,Professional Services,Online,SMB,31,588.21,0.232,10740.87,1427.82,50.0
ORD-00092,2023-05-09,Levant,Bahrain,Support Plan,Direct,SMB,7,154.95,0.083,893.0,282.48,50.0
ORD-00093,2023-05-11,North Africa,Kuwait,Analytics Suite,Partner,Enterprise,9,2136.25,0.113,49659.16,14897.4,6978.62
ORD-00094,2023-05-14,Gulf,UAE,Analytics Suite,Partner,SMB,31,1237.9,0.301,26609.8,5864.14,50.0
ORD-00095,2023-05-14,Levant,Jordan,Analytics Suite,Online,Startup,8,485.45,0.088,1668.24,302.75,50.0
ORD-00096,2023-05-15,North Africa,Qatar,Analytics Suite,Partner,Enterprise,31,550.41,0.338,27807.92,5434.85,50.0
ORD-00097,2023-05-15,Gulf,Jordan,Analytics Suite,Partner,SMB,20,1102.5,0.107,17344.96,2551.36,5266.2
ORD-00098,2023-05-16,Levant,Kuwait,Professional Services,Partner,Mid-Market,39,139.33,0.008,8564.79,2387.81,1898.09
ORD-00099,2023-05-16,Levant,Egypt,Analytics Suite,Reseller,SMB,2,705.89,0.089,1000.85,242.67,50.0
ORD-00100,2023-05-18,Gulf,Qatar,Analytics Suite,Direct,Enterprise,37,2115.77,0.06,212222.32,36396.71,27309.85
ORD-00101,2023-05-22,Nile Valley,Qatar,Support Plan,Direct,Startup,9,115.01,0.177,380.73,97.87,50.0
ORD-00102,2023-05-22,North Africa,Kuwait,Professional Services,Direct,Startup,2,567.76,0.039,592.31,198.68,2779.29
ORD-00103,2023-05-22,Gulf,UAE,Analytics Suite,Reseller,Enterprise,29,1769.51,0.219,125506.05,18440.22,13007.43
ORD-00104,2023-05-25,Nile Valley,Egypt,Professional Services,Reseller,Mid-Market,21,167.45,0.306,3662.63,808.95,50.0
ORD-00105,2023-05-26,Nile Valley,UAE,Hardware,Online,SMB,33,363.31,0.127,10467.53,2394.08,50.0
ORD-00106,2023-05-26,Gulf,Egypt,Support Plan,Direct,SMB,5,268.65,0.059,1269.38,198.91,50.0
ORD-00107,2023-05-27,North Africa,UAE,Professional Services,Reseller,Mid-Market,4,642.67,0.14,3021.09,715.84,461.25
ORD-00108,2023-05-27,Gulf,Saudi Arabia,Analytics Suite,Partner,Enterprise,23,736.05,0.275,33679.64,8531.56,4817.49
ORD-00109,2023-05-27,Nile Valley,Bahrain,Hardware,Reseller,Enterprise,35,1015.68,0.207,83054.59,12841.55,8966.37
ORD-00110,2023-05-31,North Africa,Saudi Arabia,Analytics Suite,Partner,Startup,16,943.23,0.035,6314.17,972.63,50.0
ORD-00111,2023-06-03,North Africa,Bahrain,Hardware,Reseller,Mid-Market,32,1237.45,,47856.36,14758.75,3899.91
ORD-00112,2023-06-03,Gulf,Saudi Arabia,Support Plan,Reseller,Startup,36,140.72,0.164,1951.63,367.89,13385.37
ORD-00113,2023-06-04,Nile Valley,Jordan,Analytics Suite,Direct,Mid-Market,34,1581.61,0.114,83561.05,21615.02,5985.44
ORD-00114,2023-06-05,Gulf,Egypt,Analytics Suite,Online,Startup,20,1212.34,0.039,11281.05,2909.27,50.0
ORD-00115,2023-06-07,Gulf,Qatar,Professional Services,Partner,Enterprise,28,769.25,0.343,43857.22,13359.68,22536.71
ORD-00116,2023-06-07,Gulf,Egypt,Support Plan,Partner,Enterprise,21,234.7,0.062,12853.33,3634.62,3750.3
ORD-00117,2023-06-09,North Africa,Morocco,Analytics Suite,Partner,Startup,27,1611.99,0.067,17992.42,5486.37,50.0
ORD-00118,2023-06-09,Gulf,Morocco,Professional Services,Online,Startup,23,849.05,0.051,10250.58,2640.01,5649.34
ORD-00119,2023-06-09,Nile Valley,Qatar,Hardware,Partner,Mid-Market,21,716.04,0.2,15890.16,3478.05,50.0
ORD-00120,2023-06-10,North Africa,Morocco,Support Plan,Online,Mid-Market,18,141.31,,2894.69,598.0,5114.72
ORD-00121,2023-06-15,Gulf,Qatar,Support Plan,Online,Mid-Market,26,81.85,0.087,2898.16,589.45,50.0
ORD-00122,2023-06-16,Gulf,Jordan,Analytics Suite,Reseller,Mid-Market,30,996.25,0.15,41753.23,8853.63,2703.98
ORD-00123,2023-06-19,Gulf,Morocco,Professional Services,Reseller,Enterprise,36,456.46,0.236,34615.1,,12592.7
ORD-00124,2023-06-21,Levant,Egypt,Analytics Suite,Direct,Startup,24,742.76,0.099,7006.24,1494.23,3811.11
ORD-00125,2023-06-21,North Africa,UAE,Hardware,Reseller,Mid-Market,4,916.25,0.32,3675.18,755.9,5543.64
ORD-00126,2023-06-22,Gulf,Egypt,Analytics Suite,Direct,SMB,23,1375.13,0.107,23274.7,2969.99,5073.8
ORD-00127,2023-06-25,North Africa,UAE,Support Plan,Online,Enterprise,13,166.09,0.069,4968.1,896.89,50.0
ORD-00128,2023-06-25,Gulf,UAE,Analytics Suite,Partner,Enterprise,2,1640.01,0.334,6412.55,1830.27,3975.61
ORD-00129,2023-06-27,North Africa,Bahrain,Analytics Suite,Online,SMB,3,2099.1,0.284,3571.89,882.79,6770.07
ORD-00130,2023-06-28,Nile Valley,Saudi Arabia,Professional Services,Online,Mid-Market,24,850.3,0.12,26345.57,7834.03,3868.07
ORD-00131,2023-06-28,North Africa,Morocco,Support Plan,Reseller,SMB,37,203.74,0.295,4968.43,,10044.5
ORD-00132,2023-07-08,North Africa,Jordan,Support Plan,Partner,Enterprise,20,244.77,0.182,12467.93,3838.86,5956.33
ORD-00133,2023-07-16,North Africa,Bahrain,Hardware,Reseller,Startup,18,816.27,0.121,6056.23,1787.4,1838.44
ORD-00134,2023-07-19,Gulf,UAE,Hardware,Partner,SMB,4,1292.33,0.294,3111.43,,1692.23
ORD-00135,2023-07-19,Gulf,UAE,Hardware,Direct,Startup,27,291.4,0.263,2709.22,907.43,1044.81
ORD-00136,2023-07-20,Gulf,Egypt,Analytics Suite,Partner,Enterprise,3,1917.5,0.104,17135.82,2111.89,50.0
ORD-00137,2023-07-22,Levant,Qatar,Support Plan,Online,Mid-Market,33,228.33,0.212,8485.79,2132.52,545.93
ORD-00138,2023-07-22,North Africa,Bahrain,Hardware,Online,Mid-Market,32,864.65,0.129,34390.1,10122.81,5286.77
ORD-00139,2023-07-24,Levant,UAE,Analytics Suite,Reseller,SMB,39,1077.77,0.0,37279.16,7195.5,2291.44
ORD-00140,2023-07-25,Nile Valley,UAE,Analytics Suite,Direct,Mid-Market,12,946.01,0.337,10789.06,2715.45,3065.56
ORD-00141,2023-07-28,Gulf,Egypt,Professional Services,Partner,Enterprise,7,267.39,0.192,3981.98,,589.58
ORD-00142,2023-07-28,North Africa,Jordan,Support Plan,Reseller,Mid-Market,12,194.76,0.209,2569.37,,4365.77
ORD-00143,2023-07-28,Gulf,Saudi Arabia,Support Plan,Partner,Mid-Market,32,295.79,0.21,12341.9,1504.0,4958.57
ORD-00144,2023-07-30,Gulf,Morocco,Hardware,Direct,Mid-Market,9,1149.28,0.193,13680.79,1927.21,2518.29
ORD-00145,2023-07-30,North Africa,Saudi Arabia,Support Plan,Reseller,Enterprise,35,248.17,0.102,24028.6,3403.65,50.0
ORD-00146,2023-07-31,Nile Valley,UAE,Support Plan,Partner,Mid-Market,7,194.75,0.34,1545.49,393.16,9576.48
ORD-00147,2023-08-01,Levant,Bahrain,Analytics Suite,Reseller,SMB,2,1681.09,,2264.13,533.63,50.0
ORD-00148,2023-08-03,Gulf,Saudi Arabia,Support Plan,Reseller,Mid-Market,9,210.45,0.235,2594.09,571.22,50.0
ORD-00149,2023-08-05,Levant,Egypt,Analytics Suite,Reseller,Mid-Market,30,730.83,0.159,281388.9399914106,70347.23499785265,1970.81
ORD-00150,2023-08-07,Gulf,Bahrain,Professional Services,Online,SMB,24,186.19,0.101,3991.76,493.79,50.0
ORD-00151,2023-08-08,Nile Valley,Qatar,Professional Services,Reseller,SMB,14,518.99,0.023,6898.45,1239.08,8925.26
ORD-00152,2023-08-09,North Africa,Saudi Arabia,Analytics Suite,Reseller,Mid-Market,26,1036.95,0.123,36137.61,,11605.3
ORD-00153,2023-08-14,Gulf,Morocco,Analytics Suite,Partner,SMB,26,622.82,0.062,12961.49,4150.21,3885.9
ORD-00154,2023-08-18,Gulf,Bahrain,Hardware,Direct,Startup,22,1360.23,0.232,11534.11,2496.37,820.33
ORD-00155,2023-08-19,Gulf,Morocco,Analytics Suite,Partner,SMB,21,997.15,0.308,11647.29,1606.47,4644.49
ORD-00156,2023-08-20,Nile Valley,Qatar,Support Plan,Online,Startup,4,263.26,0.106,477.25,141.13,444.28
ORD-00157,2023-08-22,Levant,Qatar,Support Plan,Online,SMB,11,103.18,0.117,792.01,249.28,50.0
ORD-00158,2023-08-23,North Africa,Kuwait,Professional Services,Direct,Enterprise,21,843.72,0.235,34365.43,7251.29,5896.97
ORD-00159,2023-08-25,Levant,UAE,Analytics Suite,Online,Mid-Market,6,961.78,0.052,9910.65,1719.88,50.0
ORD-00160,2023-08-28,Levant,Jordan,Professional Services,Direct,SMB,19,890.78,0.325,11072.48,1435.81,2651.64
ORD-00161,2023-08-30,Gulf,Bahrain,Analytics Suite,Online,Startup,5,2135.86,0.127,4902.97,1225.93,1659.34
ORD-00162,2023-08-31,Nile Valley,UAE,Support Plan,Online,Mid-Market,31,166.45,0.035,7623.12,2440.7,4076.73
ORD-00163,2023-09-01,Gulf,Jordan,Analytics Suite,Online,Enterprise,5,1686.86,0.061,24170.78,6505.21,50.0
ORD-00164,2023-09-01,Levant,Jordan,Support Plan,Partner,SMB,4,101.27,0.326,280.64,53.26,3757.82
ORD-00165,2023-09-01,North Africa,Kuwait,Support Plan,Partner,Enterprise,25,42.4,,3031.73,792.6,50.0
ORD-00166,2023-09-03,Levant,Egypt,Analytics Suite,Online,SMB,9,573.14,0.232,3765.61,1141.19,50.0
ORD-00167,2023-09-04,Nile Valley,Morocco,Analytics Suite,Online,SMB,14,739.41,0.055,8921.38,2004.48,50.0
ORD-00168,2023-09-05,Gulf,Jordan,Analytics Suite,Reseller,SMB,13,537.95,0.068,5740.36,1724.09,50.0
ORD-00169,2023-09-05,Levant,UAE,Analytics Suite,Partner,Startup,9,1487.44,0.308,5104.39,1052.63,5938.93
ORD-00170,2023-09-06,Levant,Jordan,Analytics Suite,Partner,SMB,30,2175.86,0.052,65504.07,12882.77,2778.52
ORD-00171,2023-09-08,Levant,Bahrain,Hardware,Partner,SMB,27,354.48,0.007,8602.07,2135.53,50.0
ORD-00172,2023-09-08,Gulf,Kuwait,Support Plan,Online,SMB,10,122.43,0.175,904.93,201.1,6692.28
ORD-00173,2023-09-10,Gulf,Egypt,Professional Services,Direct,Startup,27,757.9,0.302,7288.33,2441.33,50.0
ORD-00174,2023-09-11,Gulf,Qatar,Hardware,Partner,Startup,28,967.7,0.114,12247.76,2861.15,483.06
ORD-00175,2023-09-11,Gulf,Saudi Arabia,Analytics Suite,Direct,Enterprise,22,472.33,0.045,34360.2,7034.83,50.0
ORD-00176,2023-09-13,Levant,Bahrain,Professional Services,Online,SMB,23,669.48,0.344,9972.37,,5564.9
ORD-00177,2023-09-14,Levant,Egypt,Hardware,Reseller,Mid-Market,37,453.81,0.237,19974.14,4804.72,6837.41
ORD-00178,2023-09-16,Levant,Saudi Arabia,Support Plan,Reseller,Startup,18,251.09,0.298,1597.65,316.46,4066.95
ORD-00179,2023-09-17,Levant,Jordan,Support Plan,Partner,SMB,16,277.64,0.263,2985.31,833.02,3177.19
ORD-00180,2023-09-18,Levant,Kuwait,Support Plan,Direct,Mid-Market,22,276.77,0.244,6462.69,1316.75,1161.44
ORD-00181,2023-09-20,Gulf,Qatar,Analytics Suite,Direct,Enterprise,33,863.2,0.135,75369.27,15413.9,6294.34
ORD-00182,2023-09-21,Levant,Saudi Arabia,Support Plan,Direct,Mid-Market,28,120.79,0.114,5356.64,1369.88,50.0
ORD-00183,2023-09-22,Gulf,Jordan,Hardware,Reseller,SMB,3,813.08,0.251,1789.58,238.71,6979.36
ORD-00184,2023-09-23,Gulf,Kuwait,Hardware,Reseller,Mid-Market,18,1294.63,0.251,25985.09,6864.69,7129.05
ORD-00185,2023-09-23,Levant,Jordan,Analytics Suite,Online,Enterprise,29,544.98,,34272.38,7920.14,476.81
ORD-00186,2023-09-25,Levant,Jordan,Professional Services,Direct,Startup,9,868.98,0.199,3517.6,772.7,631.0
ORD-00187,2023-09-27,Gulf,UAE,Analytics Suite,Direct,SMB,39,1955.33,0.103,59543.31,16567.07,5571.31
ORD-00188,2023-09-29,Levant,UAE,Hardware,Reseller,Enterprise,32,1136.18,0.171,95242.15,27317.0,5512.42
ORD-00189,2023-09-30,Levant,Bahrain,Analytics Suite,Partner,Mid-Market,34,918.97,0.215,41649.32,12752.08,5929.57
ORD-00190,2023-10-01,North Africa,Qatar,Hardware,Direct,Startup,4,461.32,0.149,914.15,185.08,50.0
ORD-00191,2023-10-01,Levant,Morocco,Professional Services,Direct,SMB,23,373.32,0.277,40223.44487939107,10055.861219847768,50.0
ORD-00192,2023-10-02,North Africa,Egypt,Analytics Suite,Partner,SMB,21,1396.18,0.205,19936.31,5525.45,50.0
ORD-00193,2023-10-04,Gulf,Kuwait,Analytics Suite,Online,Mid-Market,25,1659.86,0.003,67877.47,16833.41,50.0
ORD-00194,2023-10-05,North Africa,Jordan,Professional Services,Reseller,Mid-Market,34,558.62,0.199,21649.08,5607.03,650.03
ORD-00195,2023-10-06,Levant,Saudi Arabia,Analytics Suite,Partner,Enterprise,14,1098.5,0.222,35760.68,8661.77,3845.02
ORD-00196,2023-10-07,Levant,Qatar,Support Plan,Online,SMB,21,83.78,0.32,1226.4,355.65,50.0
ORD-00197,2023-10-07,Levant,Bahrain,Hardware,Direct,Enterprise,27,1183.47,0.145,75059.27,12145.27,12419.76
ORD-00198,2023-10-08,Gulf,Egypt,Support Plan,Direct,Enterprise,30,131.83,0.201,9592.07,2323.74,807.31
ORD-00199,2023-10-09,Levant,Egypt,Analytics Suite,Direct,SMB,31,2077.23,0.166,58262.92,9018.07,10016.89
ORD-00200,2023-10-10,North Africa,Bahrain,Support Plan,Reseller,Startup,14,96.72,,588.06,123.26,50.0
ORD-00201,2023-10-10,Nile Valley,Saudi Arabia,Analytics Suite,Online,SMB,39,2060.93,,74336.62,19779.39,4792.54
ORD-00202,2023-10-10,Nile Valley,Morocco,Hardware,Reseller,Mid-Market,1,225.25,0.314,260.96,59.62,629.78
ORD-00203,2023-10-14,Levant,Morocco,Analytics Suite,Direct,Mid-Market,20,1568.91,0.319,32165.55,6546.01,50.0
ORD-00204,2023-10-18,Levant,Jordan,Analytics Suite,Direct,Mid-Market,24,2070.83,0.192,59698.88,,9992.82
ORD-00205,2023-10-18,North Africa,UAE,Analytics Suite,Reseller,Mid-Market,3,1150.07,0.195,4867.36,1411.64,50.0
ORD-00206,2023-10-19,Gulf,Morocco,Hardware,Direct,SMB,18,1394.99,0.02,22674.31,5346.24,7536.37
ORD-00207,2023-10-22,North Africa,UAE,Analytics Suite,Direct,Mid-Market,24,512.63,,15186.61,4996.57,50.0
ORD-00208,2023-10-22,Levant,Jordan,Hardware,Online,SMB,24,1337.53,0.15,22337.29,4765.89,8252.68
ORD-00209,2023-10-23,Gulf,Kuwait,Professional Services,Online,Startup,5,742.57,0.248,1652.65,484.85,50.0
ORD-00210,2023-10-26,Gulf,Morocco,Professional Services,Direct,Startup,11,562.85,0.016,2809.94,441.01,50.0
ORD-00211,2023-10-29,North Africa,Morocco,Hardware,Partner,Enterprise,10,267.97,0.249,6716.14,1228.21,2803.66
ORD-00212,2023-11-02,Gulf,UAE,Professional Services,Online,Mid-Market,25,559.98,0.1,20317.48,3949.29,8576.5
ORD-00213,2023-11-02,Gulf,Bahrain,Hardware,Partner,Enterprise,13,395.85,0.228,12713.26,1821.56,10265.73
